,antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction
0,frozenset({'offerType_Angebot'}),frozenset({'seller_privat'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
1,frozenset({'seller_privat'}),frozenset({'offerType_Angebot'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
2,frozenset({'abtest_control'}),frozenset({'seller_privat'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
3,frozenset({'abtest_test'}),frozenset({'seller_privat'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
4,frozenset({'seller_privat'}),frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
5,frozenset({'gearbox_manuell'}),frozenset({'seller_privat'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
6,frozenset({'seller_privat'}),frozenset({'kilometer_150000'}),1.0,0.64,0.64,0.64,1.0,0.0,1.0
7,frozenset({'kilometer_150000'}),frozenset({'seller_privat'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
8,frozenset({'fuelType_benzin'}),frozenset({'seller_privat'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
9,frozenset({'seller_privat'}),frozenset({'notRepairedDamage_nein'}),1.0,0.707,0.707,0.707,1.0,0.0,1.0
10,frozenset({'notRepairedDamage_nein'}),frozenset({'seller_privat'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
11,frozenset({'seller_privat'}),frozenset({'nrOfPictures_0'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
12,frozenset({'nrOfPictures_0'}),frozenset({'seller_privat'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
13,frozenset({'abtest_control'}),frozenset({'offerType_Angebot'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
14,frozenset({'abtest_test'}),frozenset({'offerType_Angebot'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
15,frozenset({'offerType_Angebot'}),frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
16,frozenset({'gearbox_manuell'}),frozenset({'offerType_Angebot'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
17,frozenset({'offerType_Angebot'}),frozenset({'kilometer_150000'}),1.0,0.64,0.64,0.64,1.0,0.0,1.0
18,frozenset({'kilometer_150000'}),frozenset({'offerType_Angebot'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
19,frozenset({'fuelType_benzin'}),frozenset({'offerType_Angebot'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
20,frozenset({'offerType_Angebot'}),frozenset({'notRepairedDamage_nein'}),1.0,0.707,0.707,0.707,1.0,0.0,1.0
21,frozenset({'notRepairedDamage_nein'}),frozenset({'offerType_Angebot'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
22,frozenset({'offerType_Angebot'}),frozenset({'nrOfPictures_0'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
23,frozenset({'nrOfPictures_0'}),frozenset({'offerType_Angebot'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
24,frozenset({'abtest_control'}),frozenset({'gearbox_manuell'}),0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
25,frozenset({'abtest_control'}),frozenset({'kilometer_150000'}),0.4856,0.64,0.3098,0.6379736408566722,0.9968338138385503,-0.0009839999999999849,0.9944027303754267
26,frozenset({'abtest_control'}),frozenset({'notRepairedDamage_nein'}),0.4856,0.707,0.3438,0.7079901153212521,1.0014004459989423,0.00048080000000000345,1.0033906911142458
27,frozenset({'abtest_control'}),frozenset({'nrOfPictures_0'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
28,frozenset({'abtest_test'}),frozenset({'gearbox_manuell'}),0.5144,0.7394,0.3796,0.7379471228615864,0.9980350593205118,-0.0007473599999999747,0.9944557863501488
29,frozenset({'abtest_test'}),frozenset({'kilometer_150000'}),0.5144,0.64,0.3302,0.6419129082426128,1.0029889191290826,0.0009839999999999849,1.0053420195439742
30,frozenset({'abtest_test'}),frozenset({'fuelType_benzin'}),0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
31,frozenset({'abtest_test'}),frozenset({'notRepairedDamage_nein'}),0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
32,frozenset({'abtest_test'}),frozenset({'nrOfPictures_0'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
33,frozenset({'gearbox_manuell'}),frozenset({'kilometer_150000'}),0.7394,0.64,0.4796,0.6486340275899378,1.013490668109278,0.006384000000000056,1.0245727482678983
34,frozenset({'kilometer_150000'}),frozenset({'gearbox_manuell'}),0.64,0.7394,0.4796,0.749375,1.013490668109278,0.006384000000000056,1.0398004987531175
35,frozenset({'gearbox_manuell'}),frozenset({'fuelType_benzin'}),0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
36,frozenset({'fuelType_benzin'}),frozenset({'gearbox_manuell'}),0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
37,frozenset({'gearbox_manuell'}),frozenset({'notRepairedDamage_nein'}),0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
38,frozenset({'notRepairedDamage_nein'}),frozenset({'gearbox_manuell'}),0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
39,frozenset({'gearbox_manuell'}),frozenset({'nrOfPictures_0'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
40,frozenset({'nrOfPictures_0'}),frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
41,frozenset({'kilometer_150000'}),frozenset({'notRepairedDamage_nein'}),0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
42,frozenset({'nrOfPictures_0'}),frozenset({'kilometer_150000'}),1.0,0.64,0.64,0.64,1.0,0.0,1.0
43,frozenset({'kilometer_150000'}),frozenset({'nrOfPictures_0'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
44,frozenset({'notRepairedDamage_nein'}),frozenset({'fuelType_benzin'}),0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
45,frozenset({'fuelType_benzin'}),frozenset({'notRepairedDamage_nein'}),0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
46,frozenset({'fuelType_benzin'}),frozenset({'nrOfPictures_0'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
47,frozenset({'nrOfPictures_0'}),frozenset({'notRepairedDamage_nein'}),1.0,0.707,0.707,0.707,1.0,0.0,1.0
48,frozenset({'notRepairedDamage_nein'}),frozenset({'nrOfPictures_0'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
49,"frozenset({'offerType_Angebot', 'abtest_control'})",frozenset({'seller_privat'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
50,"frozenset({'abtest_control', 'seller_privat'})",frozenset({'offerType_Angebot'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
51,frozenset({'abtest_control'}),"frozenset({'offerType_Angebot', 'seller_privat'})",0.4856,1.0,0.4856,1.0,1.0,0.0,inf
52,"frozenset({'offerType_Angebot', 'abtest_test'})",frozenset({'seller_privat'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
53,"frozenset({'seller_privat', 'abtest_test'})",frozenset({'offerType_Angebot'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
54,frozenset({'abtest_test'}),"frozenset({'offerType_Angebot', 'seller_privat'})",0.5144,1.0,0.5144,1.0,1.0,0.0,inf
55,"frozenset({'offerType_Angebot', 'seller_privat'})",frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
56,"frozenset({'offerType_Angebot', 'gearbox_manuell'})",frozenset({'seller_privat'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
57,"frozenset({'seller_privat', 'gearbox_manuell'})",frozenset({'offerType_Angebot'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
58,frozenset({'offerType_Angebot'}),"frozenset({'seller_privat', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
59,frozenset({'seller_privat'}),"frozenset({'offerType_Angebot', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
60,frozenset({'gearbox_manuell'}),"frozenset({'offerType_Angebot', 'seller_privat'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
61,"frozenset({'offerType_Angebot', 'seller_privat'})",frozenset({'kilometer_150000'}),1.0,0.64,0.64,0.64,1.0,0.0,1.0
62,"frozenset({'offerType_Angebot', 'kilometer_150000'})",frozenset({'seller_privat'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
63,"frozenset({'seller_privat', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
64,frozenset({'offerType_Angebot'}),"frozenset({'seller_privat', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
65,frozenset({'seller_privat'}),"frozenset({'offerType_Angebot', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
66,frozenset({'kilometer_150000'}),"frozenset({'offerType_Angebot', 'seller_privat'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
67,"frozenset({'offerType_Angebot', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
68,"frozenset({'seller_privat', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
69,frozenset({'fuelType_benzin'}),"frozenset({'offerType_Angebot', 'seller_privat'})",0.5964,1.0,0.5964,1.0,1.0,0.0,inf
70,"frozenset({'offerType_Angebot', 'seller_privat'})",frozenset({'notRepairedDamage_nein'}),1.0,0.707,0.707,0.707,1.0,0.0,1.0
71,"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",frozenset({'seller_privat'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
72,"frozenset({'seller_privat', 'notRepairedDamage_nein'})",frozenset({'offerType_Angebot'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
73,frozenset({'offerType_Angebot'}),"frozenset({'seller_privat', 'notRepairedDamage_nein'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
74,frozenset({'seller_privat'}),"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
75,frozenset({'notRepairedDamage_nein'}),"frozenset({'offerType_Angebot', 'seller_privat'})",0.707,1.0,0.707,1.0,1.0,0.0,inf
76,"frozenset({'offerType_Angebot', 'seller_privat'})",frozenset({'nrOfPictures_0'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
77,"frozenset({'offerType_Angebot', 'nrOfPictures_0'})",frozenset({'seller_privat'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
78,"frozenset({'seller_privat', 'nrOfPictures_0'})",frozenset({'offerType_Angebot'}),1.0,1.0,1.0,1.0,1.0,0.0,inf
79,frozenset({'offerType_Angebot'}),"frozenset({'seller_privat', 'nrOfPictures_0'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
80,frozenset({'seller_privat'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
81,frozenset({'nrOfPictures_0'}),"frozenset({'offerType_Angebot', 'seller_privat'})",1.0,1.0,1.0,1.0,1.0,0.0,inf
82,"frozenset({'abtest_control', 'seller_privat'})",frozenset({'gearbox_manuell'}),0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
83,"frozenset({'abtest_control', 'gearbox_manuell'})",frozenset({'seller_privat'}),0.3598,1.0,0.3598,1.0,1.0,0.0,inf
84,frozenset({'abtest_control'}),"frozenset({'seller_privat', 'gearbox_manuell'})",0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
85,"frozenset({'abtest_control', 'seller_privat'})",frozenset({'kilometer_150000'}),0.4856,0.64,0.3098,0.6379736408566722,0.9968338138385503,-0.0009839999999999849,0.9944027303754267
86,"frozenset({'abtest_control', 'kilometer_150000'})",frozenset({'seller_privat'}),0.3098,1.0,0.3098,1.0,1.0,0.0,inf
87,frozenset({'abtest_control'}),"frozenset({'seller_privat', 'kilometer_150000'})",0.4856,0.64,0.3098,0.6379736408566722,0.9968338138385503,-0.0009839999999999849,0.9944027303754267
88,"frozenset({'abtest_control', 'seller_privat'})",frozenset({'notRepairedDamage_nein'}),0.4856,0.707,0.3438,0.7079901153212521,1.0014004459989423,0.00048080000000000345,1.0033906911142458
89,"frozenset({'abtest_control', 'notRepairedDamage_nein'})",frozenset({'seller_privat'}),0.3438,1.0,0.3438,1.0,1.0,0.0,inf
90,frozenset({'abtest_control'}),"frozenset({'seller_privat', 'notRepairedDamage_nein'})",0.4856,0.707,0.3438,0.7079901153212521,1.0014004459989423,0.00048080000000000345,1.0033906911142458
91,"frozenset({'abtest_control', 'seller_privat'})",frozenset({'nrOfPictures_0'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
92,"frozenset({'abtest_control', 'nrOfPictures_0'})",frozenset({'seller_privat'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
93,frozenset({'abtest_control'}),"frozenset({'seller_privat', 'nrOfPictures_0'})",0.4856,1.0,0.4856,1.0,1.0,0.0,inf
94,"frozenset({'seller_privat', 'abtest_test'})",frozenset({'gearbox_manuell'}),0.5144,0.7394,0.3796,0.7379471228615864,0.9980350593205118,-0.0007473599999999747,0.9944557863501488
95,"frozenset({'gearbox_manuell', 'abtest_test'})",frozenset({'seller_privat'}),0.3796,1.0,0.3796,1.0,1.0,0.0,inf
96,frozenset({'abtest_test'}),"frozenset({'seller_privat', 'gearbox_manuell'})",0.5144,0.7394,0.3796,0.7379471228615864,0.9980350593205118,-0.0007473599999999747,0.9944557863501488
97,"frozenset({'seller_privat', 'abtest_test'})",frozenset({'kilometer_150000'}),0.5144,0.64,0.3302,0.6419129082426128,1.0029889191290826,0.0009839999999999849,1.0053420195439742
98,"frozenset({'abtest_test', 'kilometer_150000'})",frozenset({'seller_privat'}),0.3302,1.0,0.3302,1.0,1.0,0.0,inf
99,frozenset({'abtest_test'}),"frozenset({'seller_privat', 'kilometer_150000'})",0.5144,0.64,0.3302,0.6419129082426128,1.0029889191290826,0.0009839999999999849,1.0053420195439742
100,"frozenset({'seller_privat', 'abtest_test'})",frozenset({'fuelType_benzin'}),0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
101,"frozenset({'abtest_test', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.3096,1.0,0.3096,1.0,1.0,0.0,inf
102,frozenset({'abtest_test'}),"frozenset({'seller_privat', 'fuelType_benzin'})",0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
103,"frozenset({'seller_privat', 'abtest_test'})",frozenset({'notRepairedDamage_nein'}),0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
104,"frozenset({'abtest_test', 'notRepairedDamage_nein'})",frozenset({'seller_privat'}),0.3632,1.0,0.3632,1.0,1.0,0.0,inf
105,frozenset({'abtest_test'}),"frozenset({'seller_privat', 'notRepairedDamage_nein'})",0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
106,"frozenset({'seller_privat', 'abtest_test'})",frozenset({'nrOfPictures_0'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
107,"frozenset({'abtest_test', 'nrOfPictures_0'})",frozenset({'seller_privat'}),0.5144,1.0,0.5144,1.0,1.0,0.0,inf
108,frozenset({'abtest_test'}),"frozenset({'seller_privat', 'nrOfPictures_0'})",0.5144,1.0,0.5144,1.0,1.0,0.0,inf
109,"frozenset({'seller_privat', 'gearbox_manuell'})",frozenset({'kilometer_150000'}),0.7394,0.64,0.4796,0.6486340275899378,1.013490668109278,0.006384000000000056,1.0245727482678983
110,"frozenset({'seller_privat', 'kilometer_150000'})",frozenset({'gearbox_manuell'}),0.64,0.7394,0.4796,0.749375,1.013490668109278,0.006384000000000056,1.0398004987531175
111,"frozenset({'gearbox_manuell', 'kilometer_150000'})",frozenset({'seller_privat'}),0.4796,1.0,0.4796,1.0,1.0,0.0,inf
112,frozenset({'gearbox_manuell'}),"frozenset({'seller_privat', 'kilometer_150000'})",0.7394,0.64,0.4796,0.6486340275899378,1.013490668109278,0.006384000000000056,1.0245727482678983
113,frozenset({'kilometer_150000'}),"frozenset({'seller_privat', 'gearbox_manuell'})",0.64,0.7394,0.4796,0.749375,1.013490668109278,0.006384000000000056,1.0398004987531175
114,"frozenset({'seller_privat', 'gearbox_manuell'})",frozenset({'fuelType_benzin'}),0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
115,"frozenset({'seller_privat', 'fuelType_benzin'})",frozenset({'gearbox_manuell'}),0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
116,"frozenset({'gearbox_manuell', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.4756,1.0,0.4756,1.0,1.0,0.0,inf
117,frozenset({'gearbox_manuell'}),"frozenset({'seller_privat', 'fuelType_benzin'})",0.7394,0.5964,0.4756,0.6432242358669192,1.0785114618828289,0.034621840000000015,1.1312427596664143
118,frozenset({'fuelType_benzin'}),"frozenset({'seller_privat', 'gearbox_manuell'})",0.5964,0.7394,0.4756,0.7974513749161636,1.0785114618828289,0.034621840000000015,1.2866046357615892
119,"frozenset({'seller_privat', 'gearbox_manuell'})",frozenset({'notRepairedDamage_nein'}),0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
120,"frozenset({'seller_privat', 'notRepairedDamage_nein'})",frozenset({'gearbox_manuell'}),0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
121,"frozenset({'gearbox_manuell', 'notRepairedDamage_nein'})",frozenset({'seller_privat'}),0.5286,1.0,0.5286,1.0,1.0,0.0,inf
122,frozenset({'gearbox_manuell'}),"frozenset({'seller_privat', 'notRepairedDamage_nein'})",0.7394,0.707,0.5286,0.7149039761969164,1.0111795985812113,0.005844200000000077,1.027723908918406
123,frozenset({'notRepairedDamage_nein'}),"frozenset({'seller_privat', 'gearbox_manuell'})",0.707,0.7394,0.5286,0.7476661951909477,1.0111795985812115,0.005844200000000077,1.0327589686098657
124,"frozenset({'seller_privat', 'gearbox_manuell'})",frozenset({'nrOfPictures_0'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
125,"frozenset({'seller_privat', 'nrOfPictures_0'})",frozenset({'gearbox_manuell'}),1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
126,"frozenset({'gearbox_manuell', 'nrOfPictures_0'})",frozenset({'seller_privat'}),0.7394,1.0,0.7394,1.0,1.0,0.0,inf
127,frozenset({'seller_privat'}),"frozenset({'gearbox_manuell', 'nrOfPictures_0'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
128,frozenset({'gearbox_manuell'}),"frozenset({'seller_privat', 'nrOfPictures_0'})",0.7394,1.0,0.7394,1.0,1.0,0.0,inf
129,frozenset({'nrOfPictures_0'}),"frozenset({'seller_privat', 'gearbox_manuell'})",1.0,0.7394,0.7394,0.7394,1.0,0.0,1.0
130,"frozenset({'fuelType_benzin', 'kilometer_150000'})",frozenset({'seller_privat'}),0.3514,1.0,0.3514,1.0,1.0,0.0,inf
131,"frozenset({'seller_privat', 'kilometer_150000'})",frozenset({'notRepairedDamage_nein'}),0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
132,"frozenset({'notRepairedDamage_nein', 'kilometer_150000'})",frozenset({'seller_privat'}),0.4216,1.0,0.4216,1.0,1.0,0.0,inf
133,frozenset({'kilometer_150000'}),"frozenset({'seller_privat', 'notRepairedDamage_nein'})",0.64,0.707,0.4216,0.65875,0.9317538896746818,-0.03088000000000002,0.8586080586080586
134,"frozenset({'seller_privat', 'nrOfPictures_0'})",frozenset({'kilometer_150000'}),1.0,0.64,0.64,0.64,1.0,0.0,1.0
135,"frozenset({'seller_privat', 'kilometer_150000'})",frozenset({'nrOfPictures_0'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
136,"frozenset({'nrOfPictures_0', 'kilometer_150000'})",frozenset({'seller_privat'}),0.64,1.0,0.64,1.0,1.0,0.0,inf
137,frozenset({'seller_privat'}),"frozenset({'nrOfPictures_0', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
138,frozenset({'nrOfPictures_0'}),"frozenset({'seller_privat', 'kilometer_150000'})",1.0,0.64,0.64,0.64,1.0,0.0,1.0
139,frozenset({'kilometer_150000'}),"frozenset({'seller_privat', 'nrOfPictures_0'})",0.64,1.0,0.64,1.0,1.0,0.0,inf
140,"frozenset({'seller_privat', 'notRepairedDamage_nein'})",frozenset({'fuelType_benzin'}),0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
141,"frozenset({'seller_privat', 'fuelType_benzin'})",frozenset({'notRepairedDamage_nein'}),0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
142,"frozenset({'notRepairedDamage_nein', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.4306,1.0,0.4306,1.0,1.0,0.0,inf
143,frozenset({'notRepairedDamage_nein'}),"frozenset({'seller_privat', 'fuelType_benzin'})",0.707,0.5964,0.4306,0.609052333804809,1.0212145100684256,0.008945199999999986,1.0323632416787263
144,frozenset({'fuelType_benzin'}),"frozenset({'seller_privat', 'notRepairedDamage_nein'})",0.5964,0.707,0.4306,0.7219986586183769,1.0212145100684256,0.008945199999999986,1.0539517490952954
145,"frozenset({'seller_privat', 'fuelType_benzin'})",frozenset({'nrOfPictures_0'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
146,"frozenset({'nrOfPictures_0', 'fuelType_benzin'})",frozenset({'seller_privat'}),0.5964,1.0,0.5964,1.0,1.0,0.0,inf
147,frozenset({'fuelType_benzin'}),"frozenset({'seller_privat', 'nrOfPictures_0'})",0.5964,1.0,0.5964,1.0,1.0,0.0,inf
148,"frozenset({'seller_privat', 'nrOfPictures_0'})",frozenset({'notRepairedDamage_nein'}),1.0,0.707,0.707,0.707,1.0,0.0,1.0
149,"frozenset({'seller_privat', 'notRepairedDamage_nein'})",frozenset({'nrOfPictures_0'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
150,"frozenset({'nrOfPictures_0', 'notRepairedDamage_nein'})",frozenset({'seller_privat'}),0.707,1.0,0.707,1.0,1.0,0.0,inf
151,frozenset({'seller_privat'}),"frozenset({'nrOfPictures_0', 'notRepairedDamage_nein'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
152,frozenset({'nrOfPictures_0'}),"frozenset({'seller_privat', 'notRepairedDamage_nein'})",1.0,0.707,0.707,0.707,1.0,0.0,1.0
153,frozenset({'notRepairedDamage_nein'}),"frozenset({'seller_privat', 'nrOfPictures_0'})",0.707,1.0,0.707,1.0,1.0,0.0,inf
154,"frozenset({'offerType_Angebot', 'abtest_control'})",frozenset({'gearbox_manuell'}),0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
155,"frozenset({'abtest_control', 'gearbox_manuell'})",frozenset({'offerType_Angebot'}),0.3598,1.0,0.3598,1.0,1.0,0.0,inf
156,frozenset({'abtest_control'}),"frozenset({'offerType_Angebot', 'gearbox_manuell'})",0.4856,0.7394,0.3598,0.7409390444810544,1.0020814775237414,0.0007473600000000302,1.0059408585055647
157,"frozenset({'offerType_Angebot', 'abtest_control'})",frozenset({'kilometer_150000'}),0.4856,0.64,0.3098,0.6379736408566722,0.9968338138385503,-0.0009839999999999849,0.9944027303754267
158,"frozenset({'abtest_control', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.3098,1.0,0.3098,1.0,1.0,0.0,inf
159,frozenset({'abtest_control'}),"frozenset({'offerType_Angebot', 'kilometer_150000'})",0.4856,0.64,0.3098,0.6379736408566722,0.9968338138385503,-0.0009839999999999849,0.9944027303754267
160,"frozenset({'offerType_Angebot', 'abtest_control'})",frozenset({'notRepairedDamage_nein'}),0.4856,0.707,0.3438,0.7079901153212521,1.0014004459989423,0.00048080000000000345,1.0033906911142458
161,"frozenset({'abtest_control', 'notRepairedDamage_nein'})",frozenset({'offerType_Angebot'}),0.3438,1.0,0.3438,1.0,1.0,0.0,inf
162,frozenset({'abtest_control'}),"frozenset({'offerType_Angebot', 'notRepairedDamage_nein'})",0.4856,0.707,0.3438,0.7079901153212521,1.0014004459989423,0.00048080000000000345,1.0033906911142458
163,"frozenset({'offerType_Angebot', 'abtest_control'})",frozenset({'nrOfPictures_0'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
164,"frozenset({'abtest_control', 'nrOfPictures_0'})",frozenset({'offerType_Angebot'}),0.4856,1.0,0.4856,1.0,1.0,0.0,inf
165,frozenset({'abtest_control'}),"frozenset({'offerType_Angebot', 'nrOfPictures_0'})",0.4856,1.0,0.4856,1.0,1.0,0.0,inf
166,"frozenset({'offerType_Angebot', 'abtest_test'})",frozenset({'gearbox_manuell'}),0.5144,0.7394,0.3796,0.7379471228615864,0.9980350593205118,-0.0007473599999999747,0.9944557863501488
167,"frozenset({'gearbox_manuell', 'abtest_test'})",frozenset({'offerType_Angebot'}),0.3796,1.0,0.3796,1.0,1.0,0.0,inf
168,frozenset({'abtest_test'}),"frozenset({'offerType_Angebot', 'gearbox_manuell'})",0.5144,0.7394,0.3796,0.7379471228615864,0.9980350593205118,-0.0007473599999999747,0.9944557863501488
169,"frozenset({'offerType_Angebot', 'abtest_test'})",frozenset({'kilometer_150000'}),0.5144,0.64,0.3302,0.6419129082426128,1.0029889191290826,0.0009839999999999849,1.0053420195439742
170,"frozenset({'abtest_test', 'kilometer_150000'})",frozenset({'offerType_Angebot'}),0.3302,1.0,0.3302,1.0,1.0,0.0,inf
171,frozenset({'abtest_test'}),"frozenset({'offerType_Angebot', 'kilometer_150000'})",0.5144,0.64,0.3302,0.6419129082426128,1.0029889191290826,0.0009839999999999849,1.0053420195439742
172,"frozenset({'offerType_Angebot', 'abtest_test'})",frozenset({'fuelType_benzin'}),0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
173,"frozenset({'abtest_test', 'fuelType_benzin'})",frozenset({'offerType_Angebot'}),0.3096,1.0,0.3096,1.0,1.0,0.0,inf
174,frozenset({'abtest_test'}),"frozenset({'offerType_Angebot', 'fuelType_benzin'})",0.5144,0.5964,0.3096,0.6018662519440124,1.0091654123809732,0.00281184000000001,1.0137296875
175,"frozenset({'offerType_Angebot', 'abtest_test'})",frozenset({'notRepairedDamage_nein'}),0.5144,0.707,0.3632,0.7060653188180406,0.9986779615530985,-0.00048079999999994794,0.9968201058201064
176,"frozenset({'abtest_test', 'notRepairedDamage_nein'})",frozenset({'offerType_Angebot'}),0.3632,1.0,0.3632,1.0,1.0,0.0,inf
